FIN.TRANSACTION DATE,MCH.MERCHANT NAME,FIN.TRANSACTION AMOUNT
19/04/2017,SELFSERVE TICKET,115.80
24/04/2017,THE PLASTIC BOX COMPAN,750.00
24/04/2017,CARPETS 4 LESS,705.10
24/04/2017,CHARLOTTE SUPPLE ANTIQ,400.00
24/04/2017,POSSESSIONCLAIM.GO,325.00
24/04/2017,POSSESSIONCLAIM.GO,325.00
24/04/2017,POSSESSIONCLAIM.GO,325.00
24/04/2017,POSSESSIONCLAIM.GO,325.00
24/04/2017,POSSESSIONCLAIM.GO,325.00
24/04/2017,PAYPAL  ASBESTOSJOB,95.99
24/04/2017,TRAINLINE,71.81
24/04/2017,TRAINLINE,71.81
24/04/2017,TRAVELODGE,70.30
24/04/2017,ELITE DRY CLEANERS,60.00
24/04/2017,TRAINLINE,36.47
24/04/2017,TRAINLINE,26.88
24/04/2017,WWW.UK.INSIGHT.COM,21.58
24/04/2017,TRAINLINE,17.29
24/04/2017,TRAINLINE,11.17
24/04/2017,EXECUTIVE SECURITY,8.73
24/04/2017,SMITH & LOW LTD,5.63
24/04/2017,TESCO STORES 6292,2.80
25/04/2017,SIMPLY REMOVALS,432.60
25/04/2017,OXFORD291OFFICE,355.00
25/04/2017,WP-ETAXJOBS,354.00
25/04/2017,EB  DATA VISUALISATION,299.00
25/04/2017,WWW.ARGOS.CO.UK,258.94
25/04/2017,EB  THE SCIENCE OF STO,249.00
25/04/2017,WWW.THEAUDIENCEAGENCY.,240.00
25/04/2017,BUCKS RECYCLING LTD,130.25
25/04/2017,BUCKS RECYCLING LTD,130.25
25/04/2017,RABBITS VEHICLE DIDCOT,126.00
25/04/2017,MARKS&SPENCER PLC,85.20
25/04/2017,TRAVELODGE,76.00
25/04/2017,JEWSONS,55.43
25/04/2017,ENVATOMARKET34587963,53.20
25/04/2017,TRAINLINE,34.02
25/04/2017,HOMEBASE LTD 091,29.99
25/04/2017,AMAZON UK MARKETPLACE,27.98
25/04/2017,BURGER KING,24.16
25/04/2017,AMAZON UK MARKETPLACE,23.96
25/04/2017,TESCO PFS 3700,19.71
25/04/2017,SMITH & LOW LTD,14.76
25/04/2017,AMAZON UK MARKETPLACE,14.70
25/04/2017,NEC PARKING,12.00
25/04/2017,AMAZON UK MARKETPLACE,11.98
25/04/2017,APL /001TAXIS,8.50
25/04/2017,ASDA HOME SHOPPING,5.00
26/04/2017,CAPITA GAS REG,"2,292.00"
26/04/2017,PREMIER INN,560.46
26/04/2017,BUDGETAIR.CO.UK,348.04
26/04/2017,POSSESSIONCLAIM.GO,325.00
26/04/2017,HEMMING GROUP LTD,140.00
26/04/2017,OXFORD291OFFICE,121.00
26/04/2017,OXFORD291OFFICE,100.00
26/04/2017,EYRE & ELLISTON LTD,94.34
26/04/2017,TRAVELODGE,70.30
26/04/2017,WWW.THEKEY.CO.UK,36.00
26/04/2017,THE ELECTRIC TRANSPORT,35.00
26/04/2017,AMAZON UK MARKETPLACE,34.95
26/04/2017,HOMEBASE LTD 091,34.54
26/04/2017,WWW.ARGOS.CO.UK,29.98
26/04/2017,EXECUTIVE SECURITY,21.14
26/04/2017,WILKO RETAIL LIMIT,19.65
26/04/2017,WILKO RETAIL LIMIT,18.00
26/04/2017,TP-OXFORD SANDY LANE,12.56
26/04/2017,BOSWELLS OF OXFORD LTD,9.54
27/04/2017,WWW.TEES.AC.UK,493.75
27/04/2017,LINKEDIN-360 9969483,300.00
27/04/2017,TRAINLINE,240.92
27/04/2017,1&1 INTERNET LIMITED,71.98
27/04/2017,AMAZON UK MARKETPLACE,62.40
27/04/2017,CROSS COUNTRY TRAINS,50.40
27/04/2017,BMA VARSITY LTD,40.77
27/04/2017,WWW.THEKEY.CO.UK,28.80
27/04/2017,HOMEBASE LTD 091,23.98
27/04/2017,WWW.LABELSANDTAGS.CO.U,11.88
27/04/2017,MARKS&SPENCER PLC,10.50
27/04/2017,STONERIDGE ELECTRONICS LT,-62.39
28/04/2017,POSSESSIONCLAIM.GO,325.00
28/04/2017,POSSESSIONCLAIM.GO,325.00
28/04/2017,BUDGETAIR.CO.UK,248.88
28/04/2017,HOOTSUITE MEDIA INC.,103.44
28/04/2017,FASTHOSTS INTERNET,8.39
28/04/2017,SCREWFIX OXFORD,5.29
28/04/2017,INSIGHTLY CRM,1.29
29/04/2017,POST OFFICE COUNTER,26.60
29/04/2017,AMAZON UK MARKETPLACE,10.98
29/04/2017,POST OFFICE COUNTER,8.55
30/04/2017,FACEBK M54ZYCNWP2,500.00
30/04/2017,FACEBK EUTELCWHY2,418.35
30/04/2017,FACEBK HUTELCWHY2,81.65
01/05/2017,INSIGHTLY CRM,138.35
01/05/2017,RS COMPONENTS,53.50
01/05/2017,WWW.OXFORD.GOV.UK,6.09
02/05/2017,CARPETRIGHT PLC,"1,085.18"
02/05/2017,SPEEDY ASSET SRVCS,500.00
02/05/2017,TRAINLINE,123.32
02/05/2017,SWITCHBOARD,25.10
02/05/2017,MARKS&SPENCER PLC,22.50
02/05/2017,SCREWFIX OXFORD,11.98
02/05/2017,ROBERT DYAS HOLDNG LTD,6.78
02/05/2017,POSTOFFICE SELFSERVICE,3.90
02/05/2017,REDBRIDGE COACH PARK,2.20
03/05/2017,CARPETS4LESS,798.71
03/05/2017,WWW.ICO.GOV.UK,500.00
03/05/2017,RICS COM GBP CYBS,445.00
03/05/2017,POSSESSIONCLAIM.GO,325.00
03/05/2017,TRAINLINE,139.74
03/05/2017,RUSHMOOR BC MOTO,100.00
03/05/2017,VALUE PRODUCTS LTD,21.42
03/05/2017,CURRYS OXFORD 2401,19.99
03/05/2017,COLLIERS OF CROWMARSH,11.00
03/05/2017,"AMAZON SVCS EUROPE,SAR",6.99
03/05/2017,WWW.OXFORD.GOV.UK,6.09
04/05/2017,CARPETS 4 LESS,"1,030.28"
04/05/2017,OXFORD291OFFICE,308.00
04/05/2017,ROYAL IMAGES VT,187.20
04/05/2017,ARGOS RETAIL GROUP,59.97
04/05/2017,WWW.FOREVERGREENFLOWER,48.00
04/05/2017,PAYPAL  CASS ART,37.85
04/05/2017,ARGOS RETAIL GROUP,24.99
04/05/2017,DSA THEORY TEST,23.00
04/05/2017,RS COMPONENTS,12.72
04/05/2017,POSTOFFICE SELFSERVICE,11.00
04/05/2017,PAYPAL  THINK D,10.05
04/05/2017,SAINSBURYS SACAT 0730,9.20
04/05/2017,PARKERS MERCHANTIN,6.53
05/05/2017,KD MEDIA PUBLISHIN,427.50
05/05/2017,POSSESSIONCLAIM.GO,325.00
05/05/2017,WWW.ENVIRONMENTJOB.CO.,214.80
05/05/2017,WWW.SOLACE.ORG.UK,203.00
05/05/2017,TRAINLINE,65.18
05/05/2017,ARGOS LTD,41.44
05/05/2017,HOWDENS - BANBURY D293,15.59
07/05/2017,AMAZON UK MARKETPLACE,21.57
08/05/2017,BT BUSINESS DIRECT LTD,"2,286.00"
08/05/2017,HOMEBASE LTD 091,567.21
08/05/2017,OXFORD291OFFICE,121.00
08/05/2017,THE BAG N BOX MAN,106.43
08/05/2017,PREMIER INN,88.49
08/05/2017,WWW.ARGOS.CO.UK,71.96
08/05/2017,THE OXFORD CHEESE,40.32
08/05/2017,MAILCLARKAI,31.05
08/05/2017,DAILY INFORMATION,24.00
08/05/2017,TRAINLINE,17.29
08/05/2017,TRAINLINE,11.17
09/05/2017,HMCTS-TV031,597.00
09/05/2017,WWW.ARGOS.CO.UK,393.93
09/05/2017,BOOKER LIMITED OXFORD,182.83
09/05/2017,SAFETYSUPPL,177.70
09/05/2017,THE MARINE VIEW GUEST,80.00
09/05/2017,HOMEBASE LTD 091,66.06
09/05/2017,EMMAUS,55.00
09/05/2017,GWR WEBSALES,39.80
09/05/2017,WILKO RETAIL LIMIT,30.00
09/05/2017,EXECUTIVE SECURITY,28.19
09/05/2017,HOTJAR,25.22
09/05/2017,MARKS&SPENCER PLC,14.50
09/05/2017,AMAZON UK MARKETPLACE,11.70
09/05/2017,AMAZON UK MARKETPLACE,11.70
09/05/2017,AMAZON UK MARKETPLACE,11.70
09/05/2017,AMAZON UK MARKETPLACE,3.90
09/05/2017,TRAINLINE,-18.00
09/05/2017,TRAINLINE,-58.90
10/05/2017,MBL SEMINARS,600.00
10/05/2017,OXFORD291OFFICE,308.00
10/05/2017,WWW.WBC.CO.UK,102.76
10/05/2017,ARGOS RETAIL GROUP,79.98
10/05/2017,VIRGINTRAINSEC SERVCS,52.50
10/05/2017,AMAZON UK MARKETPLACE,13.55
10/05/2017,PAYPAL  PINSTARDISC,10.48
10/05/2017,AMAZON UK MARKETPLACE,9.44
10/05/2017,PAYPAL  CIRCUITWORL,8.95
10/05/2017,AMAZON UK MARKETPLACE,7.88
10/05/2017,PAYPAL  CHABRIASLIM,6.60
10/05/2017,AMAZON UK MARKETPLACE,5.60
10/05/2017,HOMEBASE LTD 091,4.80
11/05/2017,ALLMAKES LTD,854.51
11/05/2017,POSSESSIONCLAIM.GO,325.00
11/05/2017,POSSESSIONCLAIM.GO,325.00
11/05/2017,POSSESSIONCLAIM.GO,325.00
11/05/2017,OXFORD291OFFICE,255.00
11/05/2017,NORTHGATE,192.83
11/05/2017,WWW.HIGHFIELD.CO.UK,115.60
11/05/2017,TRAINLINE,57.22
11/05/2017,MARKS&SPENCER PLC,39.00
11/05/2017,RYMAN 1172,12.99
11/05/2017,WH SMITH,12.59
11/05/2017,TFL ROAD CHARGE,11.50
11/05/2017,LOVE2SHOP.CO.UK,11.50
11/05/2017,POSTOFFICE SELFSERVICE,11.00
11/05/2017,PAYPAL  EASYGIFT,10.99
11/05/2017,TESCO STORES 6292,9.00
11/05/2017,BROAD CANVAS LTD,7.90
11/05/2017,SAINSBURYS SACAT 0730,6.95
11/05/2017,WWW.OXFORD.GOV.UK,6.09
11/05/2017,PAPERCHASE,1.00
11/05/2017,TRAINLINE,-50.10
11/05/2017,TRAINLINE,-50.10
12/05/2017,BEDS TO U,861.00
12/05/2017,ADOBE  ID CREATIVE CLD,201.19
12/05/2017,EXECUTIVE SECURITY,128.57
12/05/2017,WAITROSE 211,85.00
12/05/2017,TRAINLINE,67.17
12/05/2017,PLUMB CENTER CW,50.38
12/05/2017,OXFORD BUS CO,18.00
12/05/2017,TOOLMASTER,9.00
13/05/2017,AMAZON UK MARKETPLACE,39.99
14/05/2017,ENTERPRISE RENT-A-CAR,186.96
15/05/2017,OXFORD291OFFICE,"1,090.00"
15/05/2017,TRAINLINE,269.53
15/05/2017,GOVKNOW EVENTS LIMITED,180.00
15/05/2017,ROYAL SOCIETY FOR,73.49
15/05/2017,BRAYLEY,59.40
15/05/2017,MARKS&SPENCER PLC,45.10
15/05/2017,WILKO RETAIL LIMIT,40.50
15/05/2017,TOP SHOP,40.00
15/05/2017,ALLBATTERIES,38.92
15/05/2017,BOOKER LIMITED OXFORD,32.29
15/05/2017,ARGOS RETAIL GROUP,29.98
15/05/2017,ARGOS RETAIL GROUP,27.98
15/05/2017,FACEBK 572YVCAVQ2,20.07
15/05/2017,PRIMARK 484,20.00
15/05/2017,B&M RETAIL LTD,19.99
15/05/2017,EXECUTIVE SECURITY,12.00
15/05/2017,EXECUTIVE SECURITY,11.52
15/05/2017,RS COMPONENTS,11.34
15/05/2017,WH SMITH,5.98
15/05/2017,EXECUTIVE SECURITY,-12.00
16/05/2017,PAYPAL  INVESTIGATO,252.35
16/05/2017,M & M SKIP HIRE LT,216.00
16/05/2017,AMAZON EU,120.97
16/05/2017,AMAZON UK RETAIL AMAZO,74.77
16/05/2017,AMAZON UK MARKETPLACE,12.21
16/05/2017,AMAZON UK MARKETPLACE,10.35
16/05/2017,AMAZON UK MARKETPLACE,9.35
16/05/2017,LAND REGISTRY,6.00
16/05/2017,LAND REGISTRY,6.00
16/05/2017,MARKS&SPENCER PLC,4.50
16/05/2017,PREMIER INN,4.00
17/05/2017,BRAYLEY,372.01
17/05/2017,OXFORD291OFFICE,355.00
17/05/2017,POSSESSIONCLAIM.GO,325.00
17/05/2017,WESTMINSTER FORUM,252.00
17/05/2017,EXECUTIVE SECURITY,195.53
17/05/2017,SCREWFIX,140.17
17/05/2017,CARPETS 4 LESS,105.00
17/05/2017,AMAZON UK RETAIL AMAZO,104.75
17/05/2017,WWW.PROFESSIONALBOOKS.,80.00
17/05/2017,AMAZON UK MARKETPLACE,34.29
17/05/2017,EYRE & ELLISTON LTD,26.88
17/05/2017,SAINSBURYS SACAT 0730,19.75
17/05/2017,MERCEDES-BENZ & SMART,9.44
17/05/2017,DOTPAY.PL,6.35
17/05/2017,SMITH & LOW LTD,5.50
17/05/2017,TESCO STORES 6292,4.97
17/05/2017,POUNDLAND LTD,4.00
18/05/2017,CARPETS 4 LESS,688.50
18/05/2017,SAN REMO CATERING @ CU,314.50
18/05/2017,LAMBDATEK,238.69
18/05/2017,OXFORD291OFFICE,121.00
18/05/2017,DSA,113.75
18/05/2017,TRAVELODGE,61.75
18/05/2017,SPEEDY ELECTRICAL SUPP,40.95
18/05/2017,COLLIERS OF CROWMARSH,39.62
18/05/2017,MARKS&SPENCER PLC,37.80
18/05/2017,SMITH & LOW LTD,3.50
19/05/2017,TRAVELODGE,248.90
19/05/2017,AMAZON UK MARKETPLACE,20.25
19/05/2017,MARKS&SPENCER PLC,19.85
19/05/2017,BLACKWELL S,10.04
19/05/2017,EXECUTIVE SECURITY,4.50
19/05/2017,AMZ SUPRIZEBOX,-23.96
20/05/2017,SAINSBURYS 2067,50.00
20/05/2017,AMAZON UK MARKETPLACE,22.01
20/05/2017,WILKO RETAIL LIMIT,2.90
21/05/2017,ROOT ONE LTD,22.00
21/05/2017,B & Q 1156,15.00
22/05/2017,MBL SEMINARS,576.00
22/05/2017,FYNE ASSOCIATED,420.00
22/05/2017,MONSTER UK,258.00
22/05/2017,ENVIRONMENT JOBS,226.80
22/05/2017,WWW.REED.CO.UK,210.00
22/05/2017,LET ME IN AUTOMOTIVE L,192.00
22/05/2017,ASDA STORE 4442,125.50
22/05/2017,TRAINLINE,73.80
22/05/2017,TRAINLINE,49.78
22/05/2017,MARKS&SPENCER PLC,3.75
22/05/2017,WILKO RETAIL LIMIT,3.00
22/05/2017,WILKO RETAIL LIMIT,-5.00
23/05/2017,WWW.BROADBANDBUYER.CO.,267.13
23/05/2017,OXFORD291OFFICE,121.00
23/05/2017,EXECUTIVE SECURITY,76.10
23/05/2017,COVERED ARTS LTD,44.26
23/05/2017,MARKS&SPENCER PLC,43.14
23/05/2017,BUNNYS,38.90
23/05/2017,DSA THEORY TEST,37.00
23/05/2017,AMAZON UK MARKETPLACE,19.95
23/05/2017,"AMAZON SVCS EUROPE,SAR",14.95
23/05/2017,ALLBATTERIES,-38.92
24/05/2017,CLEANSAFESERVICES.,725.70
24/05/2017,CARPETS4LESS,618.46
24/05/2017,EN-STANDARD.EU,424.36
24/05/2017,BEDS TO U,350.00
24/05/2017,BEDS TO U,340.00
24/05/2017,POSSESSIONCLAIM.GO,325.00
24/05/2017,TESCO STORES 6292,150.00
24/05/2017,TRAINLINE,139.74
24/05/2017,POSSESSIONCLAIM.GO,121.00
24/05/2017,OXFORD291OFFICE,121.00
24/05/2017,OXFORD291OFFICE,100.00
24/05/2017,ARGOS RETAIL GROUP,78.27
24/05/2017,TRAVELODGE,73.15
24/05/2017,MARKS&SPENCER PLC,49.20
24/05/2017,EXECUTIVE SECURITY,30.24
24/05/2017,AMAZON UK RETAIL AMAZO,26.94
24/05/2017,SPIRES SANDWICH,19.70
24/05/2017,MARKS&SPENCER PLC,9.40
24/05/2017,TRAVELODGE,-67.45
25/05/2017,XPO IT SERVICES LIMITE,366.00
25/05/2017,POSSESSIONCLAIM.GO,121.00
25/05/2017,GWR WEBSALES,77.80
25/05/2017,WWW.MONEYCLAIM.GOV,70.00
25/05/2017,MEDITERRANEAN FISH BAR,60.00
25/05/2017,GWR READING TO,52.50
25/05/2017,GWR READING TO,52.50
25/05/2017,MEDITERRANEAN FISH BAR,50.00
25/05/2017,EXECUTIVE SECURITY,38.58
25/05/2017,EXECUTIVE SECURITY,36.06
25/05/2017,WWW.THEKEY.CO.UK,28.80
25/05/2017,WWW.THEKEY.CO.UK,28.80
25/05/2017,WWW.THEKEY.CO.UK,14.40
25/05/2017,HOMEBASE LTD,11.58
25/05/2017,BOOTS 0330,4.50
25/05/2017,SAINSBURYS SAC2305SAC,1.80
25/05/2017,GWR READING TO,-52.50
26/05/2017,OXFORD BUSINESS COLLEG,728.00
26/05/2017,OXFORD BUSINESS COLLEG,728.00
26/05/2017,LUMINATI  WAYCON LTD,329.75
26/05/2017,WWW.TXTLOCAL.COM,294.00
26/05/2017,CURRYS ONLINE,279.98
26/05/2017,WWW.REED.CO.UK,210.00
26/05/2017,GWR WEBSALES,117.40
26/05/2017,CORGI,102.00
26/05/2017,CO-OPERATIVE FOOD,40.00
26/05/2017,ARGOS LTD,14.99
26/05/2017,TESCO STORE 2994,12.25
26/05/2017,MARKS&SPENCER PLC,10.00
26/05/2017,ASDA SUPERSTORE,6.84
26/05/2017,AMAZON UK MARKETPLACE,6.64
26/05/2017,TESCO STORES 6167,5.83
26/05/2017,CITY CAR PARKS (GLOUCE,3.70
27/05/2017,PAYPAL  QUICKBITLIM,8.59
29/05/2017,1&1 INTERNET LIMITED,9.59
29/05/2017,CITY CAR PARKS,3.70
30/05/2017,NHBS LTD,457.03
30/05/2017,AMAZON UK RETAIL AMAZO,158.18
30/05/2017,TRAINLINE,61.05
30/05/2017,SAINSBURYS (2305),60.00
30/05/2017,AMAZON UK MARKETPLACE,42.54
30/05/2017,BAKER ROSS LTD,21.17
30/05/2017,TIMPSON LTD,9.00
30/05/2017,LAND REGISTRY,3.00
31/05/2017,THE UNIVERSITY OF READ,"1,000.00"
31/05/2017,FACEBK C9CHFDSWP2,499.60
31/05/2017,TESCO STORE 2994,47.34
31/05/2017,ADOBE  CREATIVE CLOUD,42.14
31/05/2017,COMMS EXP,24.34
31/05/2017,B & Q 1062,23.42
31/05/2017,EYRE & ELLISTON LTD,8.28
31/05/2017,ARGOS RETAIL GROUP,-22.31
01/06/2017,OXFORD GOLF CLUB V,"1,630.00"
01/06/2017,SOUTH GLOS TEL PAYMENT,356.40
01/06/2017,POSSESSIONCLAIM.GO,325.00
01/06/2017,INSIGHTLY CRM,140.35
01/06/2017,PRINTGATEWAY,82.18
01/06/2017,WWW.JUST-EAT.CO.UK,72.50
01/06/2017,WWW.THEKEY.CO.UK,36.00
01/06/2017,AMAZON.CO.UK,32.98
01/06/2017,EXECUTIVE SECURITY,17.62
01/06/2017,FACEBK F87NQCJUQ2,11.93
02/06/2017,HMCOURT-SERVICES.G,455.00
02/06/2017,TRAINLINE,72.83
02/06/2017,JD SPORTS INTERNET,33.99
02/06/2017,AMAZON UK RETAIL AMAZO,20.00
02/06/2017,ARGOS LTD,19.98
02/06/2017,ROBERT DYAS HOLDNG LTD,9.99
02/06/2017,SEACOURT PARK & RIDE,2.20
02/06/2017,ROBERT DYAS HOLDNG LTD,-1.50
04/06/2017,LINTON LODGE,90.00
05/06/2017,CARPET TRADER,"1,122.00"
05/06/2017,POSSESSIONCLAIM.GO,325.00
05/06/2017,GWR WEBSALES,65.90
05/06/2017,TRAVELODGE,61.75
05/06/2017,SCREWFIX,14.38
05/06/2017,AMAZON UK MARKETPLACE,5.29
06/06/2017,HMCTS-TV031,"1,962.00"
06/06/2017,WWW.BRITSAFE.ORG,"1,554.00"
06/06/2017,CARPETS4LESS,"1,257.92"
06/06/2017,SPEEDY ASSET SRVCS,500.00
06/06/2017,COMMS EXP,308.98
06/06/2017,EMMAUS,265.00
06/06/2017,PAYPAL  OCVA,65.00
06/06/2017,WWW.MYTUB.CO.UK,58.99
06/06/2017,CROSS COUNTRY TRAINS,54.80
06/06/2017,TRAINLINE,51.56
06/06/2017,EYRE & ELLISTON LTD,46.54
06/06/2017,MAILCLARKAI,31.09
06/06/2017,CO-OPERATIVE FOOD,30.20
06/06/2017,EYRE & ELLISTON LTD,25.66
06/06/2017,SWITCHBOARD,25.10
06/06/2017,TRAINLINE,22.44
06/06/2017,CITY PLUMBING,13.44
06/06/2017,POSTOFFICE SELFSERVICE,11.00
06/06/2017,SPEEDY ASSET SRVCS,-435.32
07/06/2017,DIESEL INJECTN AYL,111.50
07/06/2017,TESCO STORE 2994,85.95
07/06/2017,TRAINLINE,81.65
07/06/2017,GO OUTDOORS,49.99
07/06/2017,NEXT  0315 OXFORD,44.05
07/06/2017,TRAINLINE,18.11
07/06/2017,ROBERT DYAS HOLDNG LTD,7.82
08/06/2017,WWW.ARGOS.CO.UK,668.93
08/06/2017,BRASENOSE COLLEGE,348.00
08/06/2017,POSSESSIONCLAIM.GO,325.00
08/06/2017,POSSESSIONCLAIM.GO,325.00
08/06/2017,POSSESSIONCLAIM.GO,325.00
08/06/2017,POSSESSIONCLAIM.GO,325.00
08/06/2017,HENLEY BUSINESS SCHOOL,321.00
08/06/2017,C I H,258.00
08/06/2017,PAYPAL  OCVA,85.00
08/06/2017,BOOKER LIMITED OXFORD,52.87
08/06/2017,SAINSBURYS 0600,29.65
08/06/2017,AMAZON UK MARKETPLACE,25.99
08/06/2017,TESCO STORE 2990,9.25
09/06/2017,AH MEDIA LTD,"1,860.00"
09/06/2017,CARPETRIGHT PLC,286.94
09/06/2017,ASSOCIATION OF ENE,158.69
09/06/2017,SMITH & LOW LTD,61.98
09/06/2017,PAYPAL  GOBRANDSLIM,53.05
09/06/2017,HOTEL MIRAMAR,50.00
09/06/2017,AMAZON.CO.UK,45.00
09/06/2017,HOMEBASE LTD 195,39.99
09/06/2017,ARGOS RETAIL GROUP,26.99
09/06/2017,HOTJAR,26.40
09/06/2017,VIRGIN TRAINS,21.50
09/06/2017,AMAZON.CO.UK,13.15
09/06/2017,MARKS&SPENCER PLC,9.25
09/06/2017,PAYPAL  PILOTIMPORT,5.10
12/06/2017,PREMIER INN,299.97
12/06/2017,PREMIER INN,206.98
12/06/2017,TIPMASTER LTD,164.40
12/06/2017,DFSK PARTS LTD,78.60
12/06/2017,CROSS COUNTRY TRAINS,52.00
12/06/2017,PIZZA HUT ONLINE WEB,34.78
12/06/2017,ARGOS RETAIL GROUP,30.00
12/06/2017,MAILCHIMP    ADCAMPAIG,28.48
