FIN.TRANSACTION DATE,MCH.MERCHANT NAME,FIN.TRANSACTION AMOUNT
01/08/2017,INSIGHTLY CRM,136.56
01/08/2017,RS COMPONENTS,31.75
01/08/2017,RS COMPONENTS,94.84
01/08/2017,POSTOFFICE SELFSERVICE,6.50
01/08/2017,OMEGA ENGINEERING LTD,228.00
01/08/2017,HMCTS-TV031,429.00
01/08/2017,LINKEDIN-371 0725733,58.72
01/08/2017,SWITCHBOARD,28.42
01/08/2017,AMAZON UK MARKETPLACE,4.31
01/08/2017,DVSA MOT COMP 2,2050.00
01/08/2017,HEALTH SCREEN,295.00
01/08/2017,RYMAN 1172,25.98
02/08/2017,LAND REGISTRY,6.00
02/08/2017,POSTOFFICE SELFSERVICE,15.60
02/08/2017,AMAZON UK MARKETPLACE,28.68
02/08/2017,WESTMINSTER FORUM,252.00
02/08/2017,LAND REGISTRY,6.00
02/08/2017,SCREWFIX OXFORD,15.98
02/08/2017,LAND REGISTRY,6.00
02/08/2017,LAND REGISTRY,6.00
02/08/2017,WWW.ENVIRONMENTJOB.CO.,214.80
02/08/2017,,530.54
03/08/2017,TRAINLINE,97.97
03/08/2017,TRAINLINE,22.95
03/08/2017,MARKS&SPENCER PLC,15.40
03/08/2017,GWR READING GATES,192.40
03/08/2017,EB  ATF OPERATORS ASSO,16.52
03/08/2017,ARGOS LTD,184.98
03/08/2017,HOMEBASE LTD 091,150.00
03/08/2017,SCREWFIX OXFORD,8.78
03/08/2017,WITNEY PLANT HIRE,1200.00
03/08/2017,WWW.DEEDFLOW.CO.UK,35.88
03/08/2017,COSTA,8.20
03/08/2017,AMAZON UK MARKETPLACE,99.80
04/08/2017,WWW.IRRV.ORG.UK,756.00
04/08/2017,R M COURIERS LIMITED,144.00
04/08/2017,AMAZON UK MARKETPLACE,9.98
04/08/2017,AMAZON EU,32.22
04/08/2017,POSTOFFICE SELFSERVICE,8.69
04/08/2017,OXFORD OXPENS CP,2.70
04/08/2017,POST OFFICE COUNTER,3.90
06/08/2017,MAILCLARKAI,31.00
07/08/2017,ASCOT WHOLESALE LTD,647.99
07/08/2017,EBUYER (UK) LTD,187.97
07/08/2017,MARTIN MCCOLL,15.00
07/08/2017,SAINSBURYS 0730,.75
07/08/2017,TIMPSON LTD,6.00
07/08/2017,WILKO RETAIL LIMIT,6.00
07/08/2017,WWW.TREES.ORG.UK,155.00
07/08/2017,TESCO STORE 2994,16.99
07/08/2017,REYNOLDS BLINDS,280.00
07/08/2017,WICKES,7.19
07/08/2017,POSTOFFICE SELFSERVICE,7.25
07/08/2017,WWW.VIKING-DIRECT.CO.U,689.88
07/08/2017,TEAMVIEWER.COM,634.80
08/08/2017,WWW.BALLICOM.CO.UK,173.83
08/08/2017,PRIMARK 484,6.50
08/08/2017,WWW.BRUNELENGRAVING.CO,250.80
08/08/2017,AO RETAIL LIMITED,158.00
08/08/2017,WWW.PMGLTD.CO.UK,462.00
08/08/2017,OXFORD NISSAN,50.90
08/08/2017,OXFORD NISSAN,43.63
08/08/2017,WWW.NWSYSTEMSGROUP,181.20
08/08/2017,SMITH & LOW LTD,33.98
08/08/2017,REDBRIDGE COACH PARK,2.20
08/08/2017,REDBRIDGE COACH PARK,2.20
08/08/2017,AMAZON UK MARKETPLACE,9.00
08/08/2017,AMAZON UK MARKETPLACE,14.38
08/08/2017,PAYPAL  THAMESTRAIN,150.00
08/08/2017,EXECUTIVE SECURITY,22.56
08/08/2017,EXECUTIVE SECURITY,103.73
08/08/2017,ALDI,19.35
08/08/2017,EYRE & ELLISTON LTD,38.62
08/08/2017,TRAINLINE,65.18
09/08/2017,AMENITYLANDSOLUTION,691.68
09/08/2017,HEROKU JUL-12620021,2.43
09/08/2017,ZAZZLE GBP,95.78
09/08/2017,RAPIDSPIKE,22.74
09/08/2017,ASM AUTO RECYCLING,312.00
09/08/2017,GREENBLUE URBAN LIMITE,342.27
09/08/2017,DESIGN SOFTWARE SOL LT,143.64
09/08/2017,AMAZON UK MARKETPLACE,28.98
09/08/2017,CLEANSAFESERVICES.,799.50
09/08/2017,PAYPAL  ADOBESYSTEM,241.43
09/08/2017,FONE CENTRAL,4687.42
09/08/2017,FONE CENTRAL,2202.96
09/08/2017,HOTJAR,27.05
09/08/2017,EAST COAST MAINLINE CO,75.40
09/08/2017,LETS DO LUNCHED,334.08
10/08/2017,EXECUTIVE SECURITY,57.60
10/08/2017,DIESEL INJECTION PERFO,624.00
10/08/2017,WWW.THEKEY.CO.UK,18.00
10/08/2017,WWW.THEKEY.CO.UK,36.00
10/08/2017,ARGOS LTD,24.99
10/08/2017,FURNISH 4 LESS LTD,297.00
10/08/2017,PAYPAL  PARTYPIECES,10.43
10/08/2017,PAYPAL  ROYTANLONLT,5.81
10/08/2017,PAYPAL  BAKER ROSS,30.53
10/08/2017,PAYPAL  MOORTOP,6.20
10/08/2017,PAYPAL  ZHOUZEPENG,1.73
10/08/2017,POSTOFFICE SELFSERVICE,8.55
10/08/2017,ARGOS RETAIL GROUP,199.99
10/08/2017,PLUMB CENTER CW,25.19
10/08/2017,OXFORD291OFFICE,308.00
10/08/2017,EYRE & ELLISTON LTD,18.78
11/08/2017,SOLARWINDS,1068.00
11/08/2017,CARPETS 4 LESS,574.07
11/08/2017,FURNISH 4 LESS LTD,79.00
11/08/2017,AMAZON UK MARKETPLACE,57.80
11/08/2017,WWW.PROTECTION.CO.UK,130.67
11/08/2017,SPECIALISTV,363.00
11/08/2017,WWW.HIGHFIELD.CO.UK,296.00
11/08/2017,RO CO FILMS EDUCATIONA,298.25
11/08/2017,PAYPAL  SPECIALISTV,1215.00
11/08/2017,,-39759.74
12/08/2017,LINKEDIN-372 2759023,56.81
12/08/2017,AMAZON EU,12.97
14/08/2017,TRAINLINE,68.75
14/08/2017,CLEANSAFESERVICES.,159.90
14/08/2017,THE CHILTERN RLYWY,34.85
14/08/2017,SPIRES SANDWICH,82.80
14/08/2017,POSSESSIONCLAIM.GO,325.00
14/08/2017,ITUNES.COM/BILL,9.99
14/08/2017,HOMEBASE LTD 091,3.95
14/08/2017,WILKO RETAIL LIMIT,15.00
14/08/2017,ARGOS LTD,3.19
15/08/2017,CPC,96.30
15/08/2017,OXFORD291OFFICE,355.00
15/08/2017,OXFORD291OFFICE,255.00
15/08/2017,LAND REGISTRY,3.00
15/08/2017,RADLEY COLLEGE LEISURE,220.00
15/08/2017,SAINSBURYS SACAT 0730,7.10
15/08/2017,HMCTS-TV031,816.00
15/08/2017,BS GLASS & GLAZING LTD,19.99
15/08/2017,TRAINLINE,71.81
15/08/2017,AMAZON UK MARKETPLACE,82.95
15/08/2017,BLINDS 2 GO LTD,352.98
15/08/2017,CCILEGAL.CO.UK-IVR,202.97
15/08/2017,TOOLSTATION LTD,7.40
15/08/2017,OXFORD PARKING,2.00
16/08/2017,EYRE & ELLISTON LTD,1102.92
16/08/2017,WHITEPAPERCOUK,226.80
