FIN.TRANSACTION DATE,MCH.MERCHANT NAME,FIN.TRANSACTION AMOUNT
28/12/2017,RYMAN 1172,20.01
28/12/2017,AMAZON UK MARKETPLACE,20.70
27/12/2017,WWW.IRRV.ORG.UK,195.00
27/12/2017,001 TAXIS,33.47
22/12/2017,WWWTCPAORGUK,180.00
22/12/2017,AMAZON UK MARKETPLACE,63.94
22/12/2017,CO-OPERATIVE FOOD,49.00
22/12/2017,CO-OPERATIVE FOOD,49.00
22/12/2017,OXFORD291OFFICE,355.00
22/12/2017,AMAZON SVCS EU-UK AMAZ,1.97
22/12/2017,BES COMMERCIAL ELECTRI,20.65
22/12/2017,FRUIT DELIVERED LTD,56.97
22/12/2017,EYRE & ELLISTON LTD,655.20
22/12/2017,EYRE & ELLISTON LTD,54.65
22/12/2017,TESCO STORES 6292,5.00
22/12/2017,CO-OPERATIVE FOOD,50.00
23/12/2017,AMAZON UK MARKETPLACE,127.50
20/12/2017,TRAINLINE,-37.80
21/12/2017,AMAZON EU,289.00
20/12/2017,AMAZON SVCS EU-UK AMAZ,9.50
21/12/2017,WWW.CIMAGLOBAL.COM,110.00
20/12/2017,TRAINLINE,-37.80
21/12/2017,WWW.INSTITUTE-OF-FUNDR,310.00
21/12/2017,LAW SOCIETY FINANC,270.00
18/12/2017,R M COURIERS LIMITED,192.00
21/12/2017,WWW.ARGOS.CO.UK,168.94
21/12/2017,INSTITUTE OF FUNDRAISI,101.00
20/12/2017,CO-OP GROUP FOOD,27.00
20/12/2017,WH SMITH,1.49
20/12/2017,AMAZON SVCS EU-UK AMAZ,18.95
21/12/2017,AMAZON UK MARKETPLACE,31.98
20/12/2017,ARGOS RETAIL GROUP,147.51
20/12/2017,DUNELM LTD,20.00
20/12/2017,SURVEYMONKEY,25.00
20/12/2017,AMAZON UK MARKETPLACE,9.98
20/12/2017,WWW.WESTLAKE.CO.UK,176.40
20/12/2017,MARKSON PIANOS LTD,900.00
20/12/2017,MARKSON PIANOS LTD,900.00
20/12/2017,BOOTS 0330,7.09
20/12/2017,TIGER,2.00
20/12/2017,PAPERCHASE,7.50
20/12/2017,AMAZON UK MARKETPLACE,15.63
19/12/2017,FREEHOLD MANAGERS PLC,25.00
18/12/2017,GITHUB.COM  DL0OU,5.42
19/12/2017,CHERWELL DC,392.52
19/12/2017,ATE (UK) LTD,185.52
19/12/2017,WWW.ROYALIMAGES.CO.UK,187.20
18/12/2017,TVLICENSING.CO.UK,147.00
19/12/2017,POSTURITE (UK) LTD,150.36
19/12/2017,WWW.POLICE-SUPPLIES.CO,22.93
19/12/2017,OPENXTRA LTD.,124.20
