FIN.TRANSACTION DATE,MCH.MERCHANT NAME,FIN.TRANSACTION AMOUNT
27/02/2018,CARPETS4LESS,731.68
27/02/2018,OFTECDIRECT.COM,228.00
27/02/2018,EYRE & ELLISTON LTD,27.64
26/02/2018,GWR WEBSALES,71.30
27/02/2018,WWW.IOSH.CO.UK,135.00
28/02/2018,DELL PRODUCT,186.00
27/02/2018,TRAINLINE,76.65
27/02/2018,DSA,96.25
27/02/2018,WWW.UKPOS.COM,121.79
27/02/2018,THE PLASTIC PEOPLE,144.48
27/02/2018,WWW.UKTRAININGINSTITUT,39.00
27/02/2018,SMITH & LOW LTD,8.50
27/02/2018,HOMEBASE LTD 091,12.49
27/02/2018,TRAINLINE,26.30
27/02/2018,EYRE & ELLISTON LTD,57.76
27/02/2018,WWW.FIREANDSAFETYCENTR,172.14
26/02/2018,BLUE CROSS - SUMMERTOW,20.00
26/02/2018,TOOLSTATION,139.98
26/02/2018,NORTH OXFORD GARAG,553.78
26/02/2018,DSA THEORY TEST,11.00
26/02/2018,OXFORD291OFFICE,242.00
26/02/2018,WWW.POWERTOOLWORLD.CO.,-2.95
26/02/2018,SP SERVICES,265.42
26/02/2018,WWW.OMNIWASH.CO.UK,248.85
26/02/2018,TRAINLINE,100.50
26/02/2018,TRAINLINE,27.10
26/02/2018,LAND REGISTRY,3.00
26/02/2018,GWR OXFORD TO,179.00
26/02/2018,AMAZON UK MARKETPLACE,17.79
23/02/2018,BS GLASS & GLAZING LTD,10.66
23/02/2018,OXFORD291OFFICE,355.00
23/02/2018,OXFORD291OFFICE,355.00
25/02/2018,GOOGLE  ADWS7930790674,200.00
23/02/2018,LAND REGISTRY,6.00
23/02/2018,SAINSBURYS LOC 6211,180.00
23/02/2018,CARPETS 4 LESS,814.59
23/02/2018,VULCANA GAS APPLIANCES,1201.20
23/02/2018,WWW.GOV.UK,10.00
25/02/2018,AMAZON EU,13.88
23/02/2018,LINKEDIN-392 2566453,110.74
23/02/2018,CITYSPRINT,130.91
23/02/2018,EXECUTIVE SECURITY,4.80
22/02/2018,AMAZON UK MARKETPLACE,35.43
22/02/2018,HOMEBASE LTD 091,5.50
22/02/2018,IZ  FIDDA SALEEM,18.00
22/02/2018,CITY OF LONDON CORPORA,65.00
22/02/2018,WW.MMSKIPHIRE.COM,228.00
22/02/2018,TICKETOFFICESALE,24.40
21/02/2018,AMAZON EU AMAZON.CO.UK,33.98
22/02/2018,WWW.POWERTOOLWORLD.CO.,102.85
22/02/2018,COMMS EXP,13.74
22/02/2018,AMAZON UK MARKETPLACE,18.18
22/02/2018,AMAZON UK MARKETPLACE,35.91
22/02/2018,AMAZON UK MARKETPLACE,35.91
22/02/2018,AMAZON UK MARKETPLACE,35.91
23/02/2018,AMAZON UK MARKETPLACE,123.96
22/02/2018,AMAZON EU AMAZON.CO.UK,130.31
22/02/2018,WWW.GUIDESFORBRIDES.CO,409.50
22/02/2018,FOR BETTER FOR WORSE,234.00
22/02/2018,UK WEDDING VENUES LTD,270.00
22/02/2018,AMAZON UK MARKETPLACE,13.98
22/02/2018,AMAZON UK MARKETPLACE,8.98
22/02/2018,EYRE & ELLISTON LTD,37.80
22/02/2018,CURRYS ONLINE,138.94
22/02/2018,WICKES,23.68
22/02/2018,WESTGATE OXFORD CAR PA,18.00
22/02/2018,SAMSUNG ELECTRONICS LT,3414.95
22/02/2018,TRAINLINE,72.80
22/02/2018,FURNISH 4 LESS LTD,150.00
22/02/2018,EMMAUS,90.00
22/02/2018,ARGOS LTD,-19.99
22/02/2018,AMAZON UK MARKETPLACE,16.82
21/02/2018,AMAZON UK MARKETPLACE,32.99
21/02/2018,GWR WEBSALES,71.30
21/02/2018,CARPETS 4 LESS,65.00
21/02/2018,TIMPSON LTD,60.00
21/02/2018,JANSEN DISPLAY LTD,831.74
21/02/2018,TICKETOFFICESALE,27.00
21/02/2018,CARLUCCIOS ST PANCRAS,20.00
21/02/2018,CO-OP GROUP PETROL,10.07
21/02/2018,EYRE & ELLISTON LTD,54.49
21/02/2018,AMAZON UK MARKETPLACE,299.94
21/02/2018,AMAZON UK MARKETPLACE,4.99
21/02/2018,TRAINLINE,80.30
21/02/2018,WH SMITH,6.99
21/02/2018,OXFORD PARKING,2.00
21/02/2018,PAYPAL  DSGRETAILLI,138.00
21/02/2018,STREETWISE.NET,12.00
21/02/2018,AMAZON UK MARKETPLACE,8.45
20/02/2018,BURY KNOWLE HEALTH CEN,136.50
21/02/2018,AMAZON UK MARKETPLACE,14.98
21/02/2018,AMAZON UK MARKETPLACE,24.85
21/02/2018,WWW.THEKEY.CO.UK,36.00
21/02/2018,FURNISH 4 LESS LTD,297.00
20/02/2018,AMAZON UK MARKETPLACE,18.99
20/02/2018,SAINSBURYS SACAT 0730,6.85
20/02/2018,CHILTERN RAILWAY LTD,20.45
20/02/2018,AMAZON EU,49.00
20/02/2018,ARGOS LTD,33.99
20/02/2018,CURRYS OXFORD CITY 282,14.98
20/02/2018,STANLEY SECURITY SOLUT,2116.20
20/02/2018,TRAINLINE,151.60
20/02/2018,PHEONIXHSC.CO.UK,654.00
20/02/2018,WWW.OXFORDBUS.CO.UK,64.00
20/02/2018,WWW.DOMINOS.CO.UK,38.76
20/02/2018,EYRE & ELLISTON LTD,21.83
20/02/2018,EYRE & ELLISTON LTD,94.34
20/02/2018,AMAZON UK MARKETPLACE,41.94
20/02/2018,SAINSBURYS SACAT 6211,12.29
08/02/2018,,-298.67
19/02/2018,GRANT AND STONE,42.00
19/02/2018,TRAINLINE,39.35
19/02/2018,AMAZON UK MARKETPLACE,8.97
19/02/2018,SMITH & LOW LTD,3.50
18/02/2018,GITHUB.COM  DL0OU,5.15
19/02/2018,DVLA ENFORCEMENT,223.00
19/02/2018,WWW.ARGOS.CO.UK,207.93
19/02/2018,WWW.ARGOS.CO.UK,161.99
19/02/2018,OXFORD291OFFICE,242.00
19/02/2018,WORCESTER STREET CAR P,3.50
16/02/2018,WORCESTER STREET CAR P,3.00
19/02/2018,AMAZON EU,114.60
19/02/2018,AMAZON SVCS EU-UK AMAZ,25.99
19/02/2018,VIKING,344.94
19/02/2018,WWW.CHILTERNRAILWAYS.C,292.80
16/02/2018,OXFORD291OFFICE,355.00
16/02/2018,AMAZON UK MARKETPLACE,87.92
16/02/2018,AMAZON UK MARKETPLACE,47.39
15/02/2018,AMAZON SVCS EU-UK AMAZ,27.96
16/02/2018,AMAZON SVCS EU-UK AMAZ,13.40
16/02/2018,PREMIER INN,43.00
15/02/2018,TV LICENSING,147.00
16/02/2018,WWW MOMENTUMDRIVINGSCH,746.00
18/02/2018,AMAZON UK MARKETPLACE,31.98
18/02/2018,AMAZON UK MARKETPLACE,31.98
16/02/2018,FURNISH 4 LESS LTD,338.00
16/02/2018,EMMAUS,60.00
16/02/2018,EXECUTIVE SECURITY,11.90
16/02/2018,WWW.IKEA.COM,51.00
16/02/2018,MORPLAN LTD,141.60
18/02/2018,ASDA STORES 4920,7.89
17/02/2018,AIRBNB   HMQFEP2EHJ,780.00
16/02/2018,WWW.JACKSONS-FENCING.C,506.40
16/02/2018,AMAZON UK MARKETPLACE,15.80
16/02/2018,AMAZON SVCS EU-UK AMAZ,78.98
16/02/2018,,-52501.83
08/02/2018,WYEVALEGARDENCTR,369.99
15/02/2018,EYRE & ELLISTON LTD,5.40
15/02/2018,EDMUNDSON ELECTRICAL,44.45
15/02/2018,EDMUNDSON ELECTRICAL,-44.45
15/02/2018,C I H,178.80
15/02/2018,WWW MOMENTUMDRIVINGSCH,100.00
15/02/2018,BLACKWELL S,27.99
15/02/2018,AMAZON UK MARKETPLACE,21.95
15/02/2018,SMITH & LOW LTD,7.45
15/02/2018,OXFORD291OFFICE,355.00
15/02/2018,AMAZON UK MARKETPLACE,22.99
14/02/2018,AMAZON EU AMAZON.CO.UK,22.69
14/02/2018,WWW.HAYMARKET.COM,195.00
14/02/2018,SAINSBURYS LOC 6211,150.00
14/02/2018,POST OFFICE COUNTER,90.00
