Date,Reference,Value,Merchant,Transaction description,Transaction description 2
01/01/2017,733390292,147.16,insightly crm,Software Rental,Active Sports Partnership
01/01/2017,733389689,72.84,facebk  z9uj3aep92,Advertising & Publicity,Universal Credits
01/01/2017,733389629,16.23,facebk  2auj3aep92,Advertising & Publicity,Universal Credits
03/01/2017,733712917,179.99,www.nationwidehireuk.co.,Short Term Vehicle Hire,Tenants Associations Grants
03/01/2017,733709992,156.00,paypal  centralconf,General Contracted Services,Health Development
03/01/2017,733711625,80.43,trainline,Public Transport,Health Development
03/01/2017,733712369,58.90,travelodge gb0000,Board & Lodging Payments,Homelessness Running Expenditure
03/01/2017,733948930,44.00,premier inn 44533710,,Health Development
03/01/2017,733949554,38.90,rs components,Furniture & Equipment Purchase,Peartree Pay & Display
03/01/2017,733949554,38.90,rs components,Furniture & Equipment Purchase,Peartree Pay & Display
03/01/2017,733949554,38.90,rs components,Furniture & Equipment Purchase,Peartree Pay & Display
03/01/2017,733949554,38.90,rs components,Furniture & Equipment Purchase,Peartree Pay & Display
03/01/2017,733716526,38.15,post office counter,Postage & Carriage,Administration:
03/01/2017,733706606,5.99,argos ltd,Hardware Purchase,Mainframe Associated Costs
04/01/2017,733928347,649.97,argos retail group,Special Events,UNDEROCCUPATION
04/01/2017,733949019,630.00,st john ambulance,Training Short Courses,Facilities
04/01/2017,733949095,580.00,rics subs uk cybs,Subscriptions,Bldg.Design & Construction
04/01/2017,733933005,509.77,box ltd-online,Hardware Purchase,
04/01/2017,733956976,432.25,travelodge gb0000,Board & Lodging Payments,Homelessness Running Expenditure
04/01/2017,734182425,282.98,amazon uk retail amazon.,Photographic Materials,Media & Communications
04/01/2017,733964057,226.37,xma ltd,Software Maintenance/Running Costs,Housing Options and Allocations
04/01/2017,733949371,87.91,ohsocherish,Books & Publications,Lord Mayors Secretariat
04/01/2017,733941045,49.07,executive security,Tools,Grounds Maintenance
04/01/2017,733957705,24.02,trainline,Public Transport,International Exch - Other
04/01/2017,733932918,19.99,currys oxford city 282,Hardware Purchase,Mainframe Associated Costs
04/01/2017,733956816,6.00,www.oxford.gov.uk,Other Miscellaneous Expenses,Dance Development
05/01/2017,734181021,594.00,www.britsafe.org,Conferences/Seminars,Learning & Development (GF)
05/01/2017,734518168,350.40,staybridge suites,Conferences/Seminars,Learning & Development (GF)
05/01/2017,734186175,308.00,oxford291office,Court Fees,Legal Services
05/01/2017,734189727,300.00,www.elmhurstenergy.co.uk,Software Maintenance/Running Costs,Building Control - Charging Account
05/01/2017,734189831,249.60,www.officefurnitureonl,Furniture & Equipment Purchase,Facilities
05/01/2017,734189777,138.00,www.iosh.co.uk,Subscriptions,Bldg.Design & Construction
05/01/2017,734188656,79.46,trainline,Public Transport,Finance & Admin
05/01/2017,734184826,68.90,gwr oxford to,Public Transport,
05/01/2017,734181765,10.98,amazon uk marketplace,Books & Publications,
05/01/2017,734181765,10.98,amazon uk marketplace,Books & Publications,
