FIN.TRANSACTION DATE,MCH.MERCHANT NAME,FIN.TRANSACTION AMOUNT
01/01/2018,INSIGHTLY CRM,134.16
01/01/2018,SWITCHBOARD,27.70
02/01/2018,EB  FUNDAMENTALS OF US,403.51
02/01/2018,WWW.PRINTERLAND.CO,248.40
03/01/2018,BYTEMARK HOSTING,24.00
03/01/2018,WWW.HIGHFIELD.CO.UK,498.00
03/01/2018,DSA THEORY TEST,37.00
03/01/2018,THE SOCIETY OF OPE,118.00
03/01/2018,WWW.DESKTOP-INNOVATION,67.87
03/01/2018,AMAZON UK MARKETPLACE,23.76
03/01/2018,WWW.TRIFIBRE.CO.UK,131.83
03/01/2018,SCREWFIX DIRECT,52.97
03/01/2018,RYMAN 1172,10.99
03/01/2018,OXFORD291OFFICE,355.00
04/01/2018,RS COMPONENTS,44.54
04/01/2018,AMAZON SVCS EU-UK AMAZ,19.95
04/01/2018,AMAZON SVCS EU-UK AMAZ,20.48
04/01/2018,WWW.SGN.CO.UK,723.60
04/01/2018,BONN SQUARE NEWS,100.50
04/01/2018,FLORA BELLA,43.95
04/01/2018,GWR WEBSALES,9.80
04/01/2018,POSSESSIONCLAIM.GO,325.00
04/01/2018,ARGOS LTD,7.99
04/01/2018,RYMAN 1172,24.95
04/01/2018,ROBERT DYAS HOLDNG LTD,20.00
04/01/2018,EYRE & ELLISTON LTD,83.66
04/01/2018,EYRE & ELLISTON LTD,3.82
04/01/2018,CARPETS 4 LESS,109.83
05/01/2018,TOOLSTATION,10.91
05/01/2018,DSA THEORY TEST,37.00
05/01/2018,ENVICO LTD,654.00
05/01/2018,AMAZON UK MARKETPLACE,6.99
05/01/2018,AMAZON UK MARKETPLACE,93.96
05/01/2018,AMAZON UK MARKETPLACE,10.98
05/01/2018,THE ELECTRIC TRANSPORT,224.65
05/01/2018,THE ELECTRIC TRANSPORT,154.65
05/01/2018,SCREWFIX OXFORD,26.06
05/01/2018,DSA THEORY TEST,37.00
06/01/2018,MAILCLARKAI,29.69
06/01/2018,AMAZON EU AMAZON.CO.UK,89.74
06/01/2018,AMAZON UK MARKETPLACE,7.48
07/01/2018,AMAZON SVCS EU-UK AMAZ,13.98
08/01/2018,RS COMPONENTS,108.00
08/01/2018,EXTRA ELECTRICAL AND H,20.94
08/01/2018,LAND REGISTRY,6.00
08/01/2018,LAND REGISTRY,6.00
08/01/2018,IES,115.00
08/01/2018,TRAINLINE,34.48
08/01/2018,SCREWFIX OXFORD,31.98
08/01/2018,D & E OFFICE SOLUTIONS,43.74
08/01/2018,WWW.THESUPERMARKETONLI,56.32
