FIN.TRANSACTION DATE,MCH.MERCHANT NAME,FIN.TRANSACTION AMOUNT
01/07/2017,INSIGHTLY CRM,139.11
01/07/2017,SWITCHBOARD,27.35
02/07/2017,WILKO RETAIL LIMIT,13.5
03/07/2017,POSTURITE (UK) LTD,633.96
03/07/2017,CURRYS OXFORD CITY 282,378.99
03/07/2017,POSSESSIONCLAIM.GO,325
03/07/2017,MILLSTREAM ASSOCIATES,118.8
03/07/2017,TRAINLINE,116.79
03/07/2017,CCBCOFFICE,100
03/07/2017,TRAINLINE,75.48
03/07/2017,LEARNING AND WORK INST,60
03/07/2017,RYMAN 1172,33.9
03/07/2017,PLUMB CENTER CW,25.19
03/07/2017,GWR WEBSALES,24.1
03/07/2017,THEWORKS.CO.UK,9.5
04/07/2017,HMCTS-TV031,1035.00
04/07/2017,CARPETS4LESS,726.48
04/07/2017,COMMS EXP,694.03
04/07/2017,ENTERPRISE RENT-A-CAR,200
04/07/2017,OXFORD PARKWAY,131.8
04/07/2017,AMAZON UK MARKETPLACE,77.97
04/07/2017,TRAINLINE,73.8
04/07/2017,TRAINLINE,73.8
04/07/2017,CHILTERN RAILWAY LTD,63.7
04/07/2017,GWR OXFORD TO,62.9
04/07/2017,WWW.WESTLAKE.CO.UK,54
04/07/2017,GWR WEBSALES,33.8
04/07/2017,SHELL PEARTREE,20.35
04/07/2017,TIMPSON LTD,12
04/07/2017,AMAZON UK MARKETPLACE,11.99
04/07/2017,THE STORY MUSEUM,7.5
05/07/2017,POSSESSIONCLAIM.GO,325
05/07/2017,POSSESSIONCLAIM.GO,325
05/07/2017,POSSESSIONCLAIM.GO,325
05/07/2017,THE BAG N BOX MAN,226.62
05/07/2017,ENVIROMENT AGENCY,170
05/07/2017,AMAZON UK MARKETPLACE,149.5
05/07/2017,NOVOTEL HOTELS,99
05/07/2017,ARGOS LTD,89.98
05/07/2017,GWR OXFORD TO,62.9
05/07/2017,MARKS&SPENCER PLC,39.4
05/07/2017,AMAZON UK MARKETPLACE,29.99
05/07/2017,AMAZON UK MARKETPLACE,27.98
05/07/2017,AMAZON UK MARKETPLACE,27.16
05/07/2017,AMAZON UK MARKETPLACE,25.18
05/07/2017,EXECUTIVE SECURITY,21.14
05/07/2017,PAPERCHASE,18.05
05/07/2017,AMAZON.CO.UK,14.37
05/07/2017,BOSWELLS OF OXFORD LTD,11.93
05/07/2017,BP WOODSTOCK F/STN,10.76
05/07/2017,AMAZON UK MARKETPLACE,7.32
05/07/2017,POSTOFFICE SELFSERVICE,7.25
05/07/2017,WWW.OXFORD.GOV.UK,6.09
05/07/2017,PAUL UK,4.35
06/07/2017,CARPETS4LESS,792.93
06/07/2017,WWW.GEAR4MUSIC.COM,353.89
06/07/2017,TRAINLINE,65.18
06/07/2017,AMAZON UK MARKETPLACE,44.58
06/07/2017,DVLA-TAX REC,40
06/07/2017,MAILCLARKAI,31.2
06/07/2017,EYRE & ELLISTON LTD,30.47
06/07/2017,AMAZON UK MARKETPLACE,24.49
06/07/2017,SCREWFIX OXFORD,15.98
06/07/2017,TESCO STORES 6292,10
06/07/2017,ARGOS LTD,9.99
06/07/2017,TIMPSON LTD,9
06/07/2017,AMAZON UK MARKETPLACE,7.91
06/07/2017,AMAZON UK MARKETPLACE,5.84
06/07/2017,TOOLSTATION LTD,1.35
06/07/2017,ENTERPRISE RENT-A-CAR,-200
07/07/2017,POSSESSIONCLAIM.GO,325
07/07/2017,NEXT  0315 OXFORD,44.05
07/07/2017,AMAZON UK MARKETPLACE,39.99
07/07/2017,PAUL UK,7.95
07/07/2017,HOBBYCRAFT,7
07/07/2017,SGN CONNECTIONS,-387.6
08/07/2017,AMAZON UK MARKETPLACE,44.99
09/07/2017,HOTJAR,26.44
10/07/2017,EBUYER (UK) LTD,614.88
10/07/2017,TRAVIS PERKINS,106.26
10/07/2017,STONERIDGE ELECTRONICS,93.12
10/07/2017,TRAINLINE,73.8
10/07/2017,AMAZON UK MARKETPLACE,27.01
10/07/2017,TRAINLINE,26.77
10/07/2017,AMAZON UK MARKETPLACE,16.95
10/07/2017,001 TAXIS,10.5
10/07/2017,AMAZON UK MARKETPLACE,6.8
10/07/2017,SGN CONNECTIONS,-700.8
11/07/2017,PREMIER,900
11/07/2017,PREMIER,426
11/07/2017,RABBITS VEHICLE DIDCOT,414
11/07/2017,GWR DIDCOT PKW SST,123.9
11/07/2017,AMAZON UK MARKETPLACE,110.41
11/07/2017,AMAZON UK MARKETPLACE,92.94
11/07/2017,AMAZON UK MARKETPLACE,89.8
11/07/2017,OXFORD BROOKES UNI,89
11/07/2017,TRAINLINE,87.31
11/07/2017,TRAINLINE,79.46
11/07/2017,TRAINLINE,58.96
11/07/2017,WWW ESPARES CO UK,51.95
11/07/2017,AMAZON.CO.UK,44.42
11/07/2017,ASDA SUPERSTORE,39.09
11/07/2017,R&M ELECTRICAL (OX,31.81
11/07/2017,WICKES BUILDING,25
11/07/2017,AMAZON UK RETAIL AMAZO,11.09
11/07/2017,SAINSBURYS SAC2305SAC,9.65
11/07/2017,POUNDLAND LTD 1586,9
11/07/2017,WENDYS NEWS,3.34
12/07/2017,CARPETS4LESS,780.18
12/07/2017,WWW.ARGOS.CO.UK,564.94
12/07/2017,OXFORD TOWBARS LTD,280
12/07/2017,HEALTH SCREEN,250
12/07/2017,EYRE & ELLISTON LTD,145.04
12/07/2017,EYRE & ELLISTON LTD,96.61
12/07/2017,EYRE & ELLISTON LTD,96.61
12/07/2017,CHESFORD GRANGE HOTEL,80
12/07/2017,EYRE & ELLISTON LTD,77.56
12/07/2017,EYRE & ELLISTON LTD,77.56
12/07/2017,EYRE & ELLISTON LTD,77.56
12/07/2017,TRAINLINE,71.81
12/07/2017,TRAINLINE,71.81
12/07/2017,TESCO PFS 2488,68.64
12/07/2017,EYRE & ELLISTON LTD,66.53
12/07/2017,COSTA COFFEE,34.55
12/07/2017,CHESFORD GRANGE HOTEL,27.25
12/07/2017,AMAZON UK MARKETPLACE,25.58
12/07/2017,AMAZON UK MARKETPLACE,19.81
12/07/2017,AMAZON UK MARKETPLACE,12.99
12/07/2017,APL /001TAXIS,10
12/07/2017,SAINSBURYS SACAT 0730,7.4
12/07/2017,APL /001TAXIS,6.45
12/07/2017,APL /001TAXIS,6.25
12/07/2017,APL /001TAXIS,5.5
12/07/2017,APL /001TAXIS,5.5
12/07/2017,RYMAN 1172,4.96
12/07/2017,TRAINLINE,-74.1
13/07/2017,POSSESSIONCLAIM.GO,325
13/07/2017,PAYPAL  BATTDEPOT,239.88
13/07/2017,POSSESSIONCLAIM.GO,121
13/07/2017,POSSESSIONCLAIM.GO,121
13/07/2017,OXFORD291OFFICE,121
13/07/2017,WWW.ALLCOLOURENVELOPES,35.94
13/07/2017,BUILDBASE LIMITED,29.46
13/07/2017,CHESFORD GRANGE HOTEL,29
13/07/2017,EXECUTIVE SECURITY,19.34
13/07/2017,EXECUTIVE SECURITY,19.29
13/07/2017,NOMINET UK,12
13/07/2017,OXFORD NISSAN,10.22
13/07/2017,AMZ HILI-EURO,-47.99
14/07/2017,WWW.INSIDEHOUSING.CO.U,174
14/07/2017,123-REG.CO.UK,105.49
14/07/2017,123-REG.CO.UK,105.47
14/07/2017,ADOBE  CREATIVE CLOUD,42.14
14/07/2017,BS GLASS & GLAZING LTD,37.92
14/07/2017,123-REG.CO.UK,12.5
14/07/2017,001 TAXIS,7
14/07/2017,SMITH & LOW LTD,6.9
14/07/2017,AMAZON UK MARKETPLACE,6.07
14/07/2017,SMITH & LOW LTD,4.85
14/07/2017,CHESFORD GRANGE HOTEL,3
14/07/2017,SMITH & LOW LTD,2
14/07/2017,TRAINLINE,-38.3
14/07/2017,TRAINLINE,-58.9
16/07/2017,AMAZON UK MARKETPLACE,27.94
16/07/2017,AMAZON UK MARKETPLACE,11.34
17/07/2017,OXFORD291OFFICE,355
17/07/2017,RIVER HOTEL LTD,192
17/07/2017,COLLEGE MOTORS,56.38
17/07/2017,TRAINLINE,40.55
17/07/2017,RHINO ROOF RACKS,32.09
17/07/2017,PAYPAL  HHP SALES,16
17/07/2017,,12
17/07/2017,SCOTTISH POWER,11.13
18/07/2017,HOLIDAY INN,952
18/07/2017,DENMANS ELECTRICAL,512.93
18/07/2017,HMCTS-TV031,330
18/07/2017,POSSESSIONCLAIM.GO,325
18/07/2017,POSSESSIONCLAIM.GO,325
18/07/2017,DEBTRECOVERYPLUS,164.8
18/07/2017,RYMAN 1172,80.98
18/07/2017,GM COACHWORK LTD,70.2
18/07/2017,MARKS&SPENCER PLC SF,61.8
18/07/2017,BOOTSPHOTOUK,53.91
18/07/2017,GWR PANGBOURNE SST,52.5
18/07/2017,WWW.SELLESMEDICAL.CO.U,51.24
18/07/2017,WWW.ALDI.CO.UK     S,49.98
18/07/2017,DSA,43.75
18/07/2017,GITHUB.COM  DL0OU,5.54
19/07/2017,PREMIER INN 44536445,359.97
19/07/2017,CISD.SOAS.AC.UK,200
19/07/2017,SEACOURT LTD,100
19/07/2017,AMAZON.CO.UK,93.96
19/07/2017,RYMAN 1172,48.86
19/07/2017,ARGOS RETAIL GROUP,44.99
19/07/2017,WWW.THEKEY.CO.UK,43.2
19/07/2017,WILKO RETAIL LIMIT,42
19/07/2017,AMAZON.CO.UK,36.98
19/07/2017,MARKS&SPENCER PLC,20
19/07/2017,LEADS DIRECT LIMITED,17.21
19/07/2017,SMITH & LOW LTD,13.98
19/07/2017,ASDA SUPERSTORE,10.84
19/07/2017,MARKS&SPENCER PLC,8.65
19/07/2017,MARKS&SPENCER PLC,1.5
20/07/2017,I I P,893.28
20/07/2017,CLEANSAFESERVICES.,725.7
20/07/2017,RABBITS VEHICLE DIDCOT,144
20/07/2017,PAYPAL  STYLEYOURMO,58.35
20/07/2017,GWR WEBSALES,58.2
20/07/2017,MARKS&SPENCER PLC,49.45
20/07/2017,TIMPSON LTD,36
20/07/2017,SMITH & LOW LTD,31.98
20/07/2017,MARKS&SPENCER PLC,25.55
20/07/2017,SCOTTISH POWER,17.71
20/07/2017,TIMPSON LTD,14
20/07/2017,RS COMPONENTS,12.48
20/07/2017,GWR WEBSALES,12
20/07/2017,POSTOFFICE SELFSERVICE,11
20/07/2017,WWW.SPARKENERGY.CO.UK,2.99
20/07/2017,AMAZON UK MARKETPLACE,2.58
20/07/2017,TRAINLINE,-58.9
21/07/2017,WWW.MAPLIN.CO.UK,99.99
21/07/2017,MARSTON BOOK LTD,68.5
21/07/2017,TOOLMASTER,45
21/07/2017,ARGOS LTD,45
21/07/2017,WWW.THEKEY.CO.UK,28.8
21/07/2017,GWR OXFORD SST,19
21/07/2017,AMAZON UK MARKETPLACE,15.58
21/07/2017,COMPANIES HOUSE,13
21/07/2017,PAPERCHASE,8.25
22/07/2017,AMAZON UK MARKETPLACE,136.49
22/07/2017,AMAZON.CO.UK,24.41
22/07/2017,AMAZON EU,19.75
23/07/2017,AMAZON UK RETAIL AMAZO,19.18
24/07/2017,LET ME IN AUTOMOTIVE L,504
24/07/2017,POSSESSIONCLAIM.GO,325
24/07/2017,POSSESSIONCLAIM.GO,325
24/07/2017,POSSESSIONCLAIM.GO,325
24/07/2017,OXFORD291OFFICE,255
24/07/2017,AMAZON EU,105
24/07/2017,CO-OPERATIVE FOOD,99
24/07/2017,BMA VARSITY LTD,81.55
24/07/2017,MARKS&SPENCER PLC,28.85
24/07/2017,NHBS LTD,27.94
24/07/2017,PEARTREE P/RIDE,2.2
25/07/2017,BEDS TO U,297
25/07/2017,BEDS TO U,149
25/07/2017,HALFORDS 0988,121
25/07/2017,MARKS&SPENCER PLC,100
25/07/2017,EYRE & ELLISTON LTD,57.6
25/07/2017,WILKO RETAIL LIMIT,42
25/07/2017,CARPETS 4 LESS,35
25/07/2017,DSA THEORY TEST,23
25/07/2017,ODEON,20
25/07/2017,WIGGLE LTD,20
25/07/2017,EXECUTIVE SECURITY,19.29
25/07/2017,EXECUTIVE SECURITY,18.82
25/07/2017,WWW.DHL INTERNATIONAL,17.27
25/07/2017,WWW.THEKEY.CO.UK,14.4
25/07/2017,SUK RETAIL LTD,10.48
25/07/2017,RS COMPONENTS,4.37
26/07/2017,CARPETS4LESS,1403.82
26/07/2017,WWW.PMGLTD.CO.UK,474
26/07/2017,CARPETS4LESS,472.99
26/07/2017,CARPETS4LESS,454.26
26/07/2017,AMAZON UK MARKETPLACE,43.7
26/07/2017,AMAZON UK MARKETPLACE,29.98
26/07/2017,SAINSBURYS 0730,25
26/07/2017,AMAZON EU,20.41
26/07/2017,SAINSBURYS 0730,5
26/07/2017,SMITH & LOW LTD,2.95
27/07/2017,WWW.CIPS.ORG,183.6
27/07/2017,AMAZON UK MARKETPLACE,130.43
27/07/2017,EB  INTRODUCTION TO FU,80.24
27/07/2017,EMMAUS,40
27/07/2017,MARKS&SPENCER PLC,39.5
27/07/2017,AMAZON.CO.UK,36.81
27/07/2017,EYRE & ELLISTON LTD,35.1
27/07/2017,MARKS&SPENCER PLC,35.05
27/07/2017,SAINSBURYS 0600,29.45
27/07/2017,AMAZON UK MARKETPLACE,18.36
27/07/2017,AMAZON UK MARKETPLACE,10.66
27/07/2017,APL /001TAXIS,10.1
27/07/2017,APL /001TAXIS,5.5
27/07/2017,MARKS&SPENCER PLC,2.8
